Тип транспорта,Номер маршрута,Конечные остановки,id остановки,Название остановки,Долгота,Широта
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,1543190188,ТРК Европа, 48.726302,44.538187
Маршрутка,152,Ямы — Речной вокзал,1543190188,ТРК Европа, 48.726302,44.538187
Маршрутка,156,Клетский / Рассвет — Площадь Ленина,1543190188,ТРК Европа, 48.726302,44.538187
Маршрутка,164,2-я Пятилетка — Волгоградский оптово-строительный рынок,1543190188,ТРК Европа, 48.726302,44.538187
Маршрутка,174,ВИР — ТРЦ Акварель,1543190188,ТРК Европа, 48.726302,44.538187
Маршрутка,246,ВПЗ-15 — Волгоградский оптово-строительный рынок,1543190188,ТРК Европа, 48.726302,44.538187
Автобус,35,Волгоградский оптово-строительный рынок — Больничный комплекс,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,7к,Роддом № 1 — Олимпия,1926692181,Улица Пархоменко, 48.725255,44.526279
Автобус,20,Аллея Героев — Нижний посёлок ВГТЗ,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,90а,Кинотеатр Юбилейный — Улица Хиросимы,1926692181,Улица Пархоменко, 48.725255,44.526279
Автобус,146,Центральный автовокзал Волгограда — Магазин Стимул,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,152,Речной вокзал — Ямы,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,156,Площадь Ленина — Клетский / Рассвет,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,164,Волгоградский оптово-строительный рынок — 2-я Пятилетка,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,174,ТРЦ Акварель — ВИР,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,246,Волгоградский оптово-строительный рынок — ВПЗ-15,1926692181,Улица Пархоменко, 48.725255,44.526279
Автобус,35,Волгоградский оптово-строительный рынок — Больничный комплекс,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,7к,Роддом № 1 — Олимпия,1926692181,Улица Пархоменко, 48.725255,44.526279
Автобус,20,Аллея Героев — Нижний посёлок ВГТЗ,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,90а,Кинотеатр Юбилейный — Улица Хиросимы,1926692181,Улица Пархоменко, 48.725255,44.526279
Автобус,146,Центральный автовокзал Волгограда — Магазин Стимул,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,152,Речной вокзал — Ямы,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,156,Площадь Ленина — Клетский / Рассвет,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,164,Волгоградский оптово-строительный рынок — 2-я Пятилетка,1926692181,Улица Пархоменко, 48.725255,44.526279
