grid,rate
1,4.8
2,5.2
3,3.1
4,2.5
5,4.4
6,8.5
7,0.2
8,8.7
9,8.9
10,5.8
11,9.1
12,3.2
13,6
14,0.5
15,5.8
16,7.6
17,6.6
18,5.4
19,2.6
20,0.6
21,3.4
22,9.1
23,9.6
24,6.1
25,1.7
26,0.9
27,0.2
28,5.6
29,7.5
30,1.7
31,4
32,0.3
33,9.7
34,4.1
35,3.5
36,6.4
37,8
38,5.3
39,8.8
40,3.3
41,6.3
42,5
43,8.8
44,6.6
45,2.5
46,5.1
47,4.3
48,5.1
49,0
50,5.8
51,5.8
52,8.5
53,0.5
54,7.2
55,6.6
56,8.2
57,5.6
58,7
59,9.6
60,7.7
61,6.9
62,8.7
63,2.2
64,4.8
65,0.9
66,1.1
67,5.6
68,2.4
69,5
70,3.4
71,2.9
72,3.4
73,0.5
74,5.8
75,9.9
76,3.6
77,5.4
78,6.4
79,8.2
80,4.7
81,3.6
82,6.7
83,9.5
84,1
85,4.7
86,8
87,9.9
88,9.2
89,7.7
90,2.4
91,8.2
92,5.3
93,7
94,4.5
95,9.9
96,9.5
97,7.5
98,1.1
99,2.1
100,8.9
101,5.7
102,3.7
103,0.4
104,9.3
105,7.3
106,3.4
107,6.5
108,1.1
109,9.2
110,4.8
111,1.8
112,4.3
113,1.4
114,0.2
115,7.3
116,4.6
117,7.6
118,3.3
119,1.9
120,1
121,3.4
122,2.4
123,4.6
124,9.5
125,9.9
126,4.2
127,1.5
128,8.1
129,8.8
130,9.5
131,1.5
132,7.6
133,3.8
134,9.8
135,7.2
136,5.2
137,7.4
138,5.3
139,7
140,7.3
141,4.9
142,7.8
143,5.6
144,2.5
145,8.7
146,1.8
147,1.1
148,0.3
149,2.5
150,2.6
151,2.2
152,5.2
153,4
154,8.7
155,1.8
156,0
157,3.9
158,2.8
159,2.3
160,8.5
161,3.6
162,5.3
163,2.1
164,8.4
165,2.7
166,1.5
167,7.3
168,8.4
169,6.7
170,6.8
171,9.8
172,2.7
173,6.3
174,9.7
175,1
176,4.8
177,8.5
178,6.6
179,9.8
180,8.7
181,9.4
182,8.3
183,7.6
184,2.6
185,5.7
186,2.7
187,0.4
188,3.5
189,6.7
190,6.3
191,8.8
192,9.7
193,2
194,5.5
195,4.8
196,5.7
197,7.7
198,7.4
199,5.2
200,8.9
201,7.8
202,0
203,0.3
204,9.7
205,1.4
206,5.2
207,1.9
208,9.6
209,4.9
210,1.5
211,9.4
212,1.5
213,0.5
214,6.7
215,0.2
216,8.4
217,4.5
218,5.4
219,8.1
220,3.8
221,3.1
222,2.2
223,0.7
224,5.8
225,3.6
226,9.6
227,8.3
228,9.8
229,2.2
230,0.5
231,5.6
232,4.8
233,4.7
234,1.1
235,3.2
236,5.4
237,4.8
238,9.9
239,5.7
240,8.5
241,9.1
242,2.5
243,4.7
244,0
245,3.6
246,1.3
247,0
248,0.4
249,7
250,9.8
251,8.4
252,9
253,3.8
254,9.4
255,2.6
256,4.6
257,5.6
258,2.1
259,3.9
260,1.2
261,2
262,6.4
263,4.1
264,2.2
265,4.4
266,5.2
267,9.9
268,1.8
269,0.6
270,6.4
271,6
272,8.7
273,8.5
274,6.7
275,0
276,3.9
277,4.7
278,3.2
279,5
280,9.7
281,9.2
282,8.3
283,5.8
284,1.8
285,0.9
286,6.1
287,1
288,8.9
289,9.3
290,0.8
291,3.6
292,2.5
293,0.4
294,2.8
295,3.3
296,3.1
297,4.9
298,9.5
299,2.6
300,0.7
301,1.5
302,3.9
303,8.1
304,5
305,9.1
306,4.8
307,0
308,5.6
309,7.6
310,2.4
311,3.6
312,1.1
313,9.7
314,2.9
315,9.4
316,4.4
317,9.2
318,0.2
319,1.8
320,6.9
321,8
322,2.1
323,4.1
324,8
325,4.5
326,4.4
327,6.8
328,6.4
329,5.5
330,6.9
331,3.1
332,4.9
333,6.3
334,3.7
335,1
336,8.8
337,0.3
338,2.9
339,5.3
340,1.4
341,0.1
342,4.5
343,1
344,6
345,6
346,5.5
347,0.3
348,5.8
349,5
350,7
351,8.5
352,4.8
353,9.4
354,0.8
355,4.5
356,1.4
357,6.4
358,9.8
359,1.5
360,8.6
361,0
362,6.6
363,6.9
364,8.2
365,1.4
366,9
367,8
368,3.3
369,5.5
370,6.2
371,8.1
372,7.3
373,3.9
374,8.5
375,2.7
376,6
377,3.5
378,5.2
379,6.7
380,1.4
381,8.6
382,7.5
383,2.3
384,7.5
385,5.5
386,4.3
387,3.4
388,1.4
389,4.6
390,1.7
391,9
392,5.9
393,8.2
394,0
395,1.9
396,5.3
397,9.7
398,6.2
399,8.6
400,5.4
401,9.4
402,4
403,0
404,4.4
405,6.3
406,7.8
407,3.2
408,7
409,2.9
410,2.6
411,5.8
412,9.2
413,2.4
414,6.8
415,8.6
416,2.7
417,0.4
418,8.6
419,7.4
420,2.1
421,4.2
422,2.7
423,0.7
424,8.4
425,4.1
426,9.5
427,4.5
428,6.4
429,3.1
430,3
431,3.9
432,9.7
433,5
434,2.9
435,0.2
436,4.4
437,0.9
438,6.9
439,4.5
440,1.7
441,6.1
442,5.3
443,3.4
444,0.8
445,6.4
446,2.7
447,6
448,7.9
449,6.3
450,1.4
451,8.1
452,8.4
453,4.2
454,2.6
455,7.8
456,2.4
457,8.2
458,5.7
459,1.5
460,1.4
461,9
462,4.4
463,9.4
464,2.6
465,5
466,1.8
467,9.2
468,5.2
469,0.8
470,9.8
471,9.8
472,9.9
473,1.5
474,2.7
475,1.9
476,3.5
477,7.1
478,6.1
479,9.5
480,4.2
481,5.2
482,3.2
483,6.2
484,4.6
485,3.1
486,5.4
487,9.5
488,8.1
489,8.9
490,8.4
491,4.1
492,4.3
493,3
494,9.1
495,3.7
496,3.9
497,9.7
498,4.3
499,6.3
500,3.3
501,9.3
502,4.3
503,2.1
504,5.8
505,1.4
506,4.1
507,8.1
508,3.4
509,7.2
510,2.7
511,6.6
512,2.6
513,2.9
514,3.1
515,2.7
516,0.7
517,6.2
518,7
519,1.6
520,3.1
521,3.5
522,6.5
523,8
524,4.8
525,9.4
526,8.2
527,6.5
528,1.5
529,6.1
530,3.9
531,8.5
532,3.9
533,5.5
534,7.2
535,8.3
536,1.4
537,5.1
538,1.7
539,1.3
540,9.9
541,9.7
542,8.4
543,7.6
544,0.2
545,2.1
546,1
547,4
548,6.5
549,6.8
550,1.8
551,0.7
552,9.9
553,5.3
554,9.6
555,6.8
556,4.7
557,6.1
558,1.6
559,4.1
560,7.9
561,0.2
562,0
563,5.8
564,4.3
565,8
566,8.5
567,4.4
568,3.9
569,4
570,8
571,4.2
572,2.2
573,1.4
574,6.2
575,3.2
576,5.6
577,1.2
578,1.6
579,9.9
580,9.9
581,8
582,5.1
583,4.6
584,7.8
585,1.6
586,7.4
587,7.3
588,9.7
589,2.1
590,3.5
591,9.9
592,8.3
593,2.7
594,4.4
595,0.7
596,9.9
597,0.9
598,4.4
599,1.7
600,9.3
601,3
602,9.7
603,3.8
604,4.4
605,1
606,3.8
607,2.4
608,1.1
609,5.8
610,1.6
611,8.6
612,6.4
613,1.7
614,6.7
615,2.7
616,0
617,6.9
618,3
619,7
620,7.7
621,0.2
622,7.3
623,3.8
624,3.9
625,0.3
626,9.2
627,8.8
628,2.9
629,4
630,3.3
631,0.1
632,7.6
633,3.4
634,5.6
635,6
636,2.2
637,9.8
638,8.8
639,5.1
640,3.8
641,0.8
642,0.4
643,7.4
644,3.3
645,2.3
646,8.2
647,8.3
648,6.2
649,1.2
650,6.6
651,1.2
652,2.6
653,1.7
654,6.4
655,2.6
656,8.6
657,3.1
658,3.2
659,3.1
660,7.9
661,0.2
662,6.4
663,8.1
664,1.5
665,6.3
666,0
667,8.1
668,0.5
669,6.5
670,0.8
671,2.1
672,3.2
673,1.6
674,5.5
675,5.2
676,7.8
677,7.9
678,5.6
679,7.9
680,5
681,9.3
682,0.8
683,9
684,5.4
685,3.8
686,8.5
687,8.2
688,1.5
689,0.9
690,1.8
691,8.4
692,6.4
693,1.2
694,0.2
695,6.5
696,9.5
697,7.9
698,0
699,4
700,7.5
701,7.7
702,9.8
703,4.8
704,0.7
705,1
706,8
707,5.1
708,8.2
709,2
710,9
711,9.3
712,7.1
713,6.4
714,9.1
715,2.8
716,9.7
717,7.9
718,8.2
719,4.7
720,7.7
721,8.6
722,0
723,4.6
724,3.9
725,2.1
726,4.8
727,5.5
728,4.7
729,3.7
730,5.8
731,3.1
732,6.7
733,7.4
734,9.8
735,8.2
736,4.6
737,0
738,5.6
739,4
740,3.4
741,9.1
742,6.9
743,3.7
744,0.1
745,7.6
746,8.2
747,0.9
748,6.8
749,7.5
750,0
751,0.1
752,2.1
753,9.2
754,6
755,3.9
756,6.7
757,3.5
758,7.8
759,8.1
760,1.5
761,5.2
762,4
763,3
764,6.9
765,9.2
766,4.7
767,1.1
768,9.1
769,0.5
770,3.7
771,7.5
772,4.1
773,6
774,9.6
775,5.8
776,5.6
777,6.5
778,3.4
779,5.4
780,0.1
781,7.2
782,3
783,5.5
784,4.2
785,8.9
786,3
787,1.6
788,0.6
789,9.5
790,0.4
791,7.6
792,3.7
793,2.1
794,5.6
795,0.7
796,1.2
797,4.5
798,9.3
799,1.4
800,2.7
801,9.6
802,2.6
803,1
804,9.8
805,4.3
806,8.5
807,3.1
808,7.3
809,4.9
810,4.1
811,3.6
812,0.4
813,9.8
814,1.1
815,1.8
816,5.2
817,9.2
818,4.1
819,7.3
820,0
821,9.7
822,2.1
823,6.3
824,1.4
825,6.6
826,5.5
827,0.8
828,8.9
829,0
830,3.3
831,6.6
832,9.1
833,2.7
834,9.2
835,7.9
836,6.5
837,3.7
838,7.5
839,3.9
840,7.8
841,2.1
842,0.3
843,6.2
844,9.2
845,6.3
846,3.8
847,8
848,0
849,5
850,0.9
851,2.7
852,2.6
853,8.6
854,3.2
855,9.1
856,2.1
857,9.4
858,6.1
859,9.9
860,7.3
861,6.2
862,3
863,7.8
864,1.5
865,1.8
866,5.1
867,6.1
868,2.2
869,0.4
870,9.8
871,5.9
872,3.4
873,5.5
874,9.5
875,3.2
876,0.6
877,8.7
878,6.8
879,0.9
880,1
881,8.7
882,0.2
883,4.2
884,5.4
885,2.2
886,1
887,4.1
888,5.2
889,9.8
890,5.3
891,6.1
892,3.1
893,7.3
894,4
895,5.6
896,1.4
897,5.1
898,5.6
899,8.8
900,8.1
901,8.4
902,3.1
903,4.4
904,9.3
905,3.3
906,3.7
907,9.4
908,1.3
909,7.5
910,0.3
911,2.6
912,2.9
913,0.3
914,0.5
915,2.4
916,3.9
917,6.3
918,2.4
919,6.5
920,5.8
921,7.7
922,2.8
923,4.6
924,3.6
925,2.9
926,2.3
927,0.7
928,3
929,2
930,2.5
931,2.2
932,9.6
